flight_number,name,date_utc,success,status,rocket,mission_type,orbit,pad,location,details,wikipedia,webcast
6310,Falcon 9 Block 5 | Crew-5,2022-10-05T16:00:57Z,True,Launch Successful,Falcon 9,Human Exploration,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA",SpaceX Crew-5 is the fifth crewed operational flight of a Crew Dragon spacecraft to the International Space Station as part of NASA's Commercial Crew Program.,,
6311,Falcon 9 Block 5 | Starlink Group 4-29,2022-10-05T23:10:30Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",A batch of 52 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6314,Falcon 9 Block 5 | Galaxy 33 & 34,2022-10-08T23:05:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","Galaxy 33, 34 are two geostationary communications satellites manufactured by Northrop Grumman and operated by Intelsat.",,
6321,Falcon 9 Block 5 | Hotbird 13F,2022-10-15T05:22:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Geostationary communications satellite built by Airbus Defence and Space for Eutelsat.,,
6323,Falcon 9 Block 5 | Starlink Group 4-36,2022-10-20T14:50:40Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",A batch of 54 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6328,Falcon 9 Block 5 | Starlink Group 4-31,2022-10-28T01:14:10Z,True,Launch Successful,Falcon 9,Communications,Low Earth Orbit,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",A batch of 53 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,
6331,Falcon Heavy | USSF-44,2022-11-01T13:41:00Z,True,Launch Successful,Falcon Heavy,Government/Top Secret,Geostationary Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA","Classified US Space Force carrying two payloads directly to geostationary orbit. One is called the Shepherd Demonstration, and the other is LDPE 2 spacecraft that carries three hosted payloads and three deployable sub-satellites. One of them is an experimental microsatellite called TETRA-1.",,
6333,Falcon 9 Block 5 | Hotbird 13G,2022-11-03T05:22:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","Hotbird 13G is a communications satellite built by Airbus Defense and Space which will provide television broadcast services over Europe, the Middle East, and North Africa for Eutelsat.",,
6340,Falcon 9 Block 5 | Galaxy 31 & 32,2022-11-12T16:06:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","Galaxy 31, 32 are two geostationary communications satellites manufactured by Maxar and operated by Intelsat.",,
6344,Falcon 9 Block 5 | Eutelsat 10B,2022-11-23T02:57:00Z,True,Launch Successful,Falcon 9,Communications,Geostationary Transfer Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",Eutelsat 10B is an all-electric geostationary communications satellite equipped with two multi-beam HTS Ku-band payloads able to provide a throughput of approximately 35 Gbps.,,
6346,Falcon 9 Block 5 | Dragon CRS-2 SpX-26,2022-11-26T19:20:43Z,True,Launch Successful,Falcon 9,Resupply,Low Earth Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA","26th commercial resupply services mission to the International Space Station operated by SpaceX. The flight will be conducted under the second Commercial Resupply Services contract with NASA. Cargo Dragon 2 brings supplies and payloads, including critical materials to directly support science and research investigations that occur onboard the orbiting laboratory.",,
6353,Falcon 9 Block 5 | OneWeb 15,2022-12-08T22:27:48Z,True,Launch Successful,Falcon 9,Communications,Polar Orbit,Launch Complex 39A,"Kennedy Space Center, FL, USA","A batch of 40 satellites for the OneWeb satellite constellation, which is intended to provide global Internet broadband service for individual consumers. The constellation is planned to have around 648 microsatellites (of which 60 are spares), around 150 kg each, operating in Ku-band from low Earth orbit.",,
6355,Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,2022-12-11T07:38:13Z,True,Launch Successful,Falcon 9,Lunar Exploration,Lunar Orbit,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA","First mission of the Hakuto-R commercial lunar lander developed by private Japanese company ispace. Rideshare includes Lunar Flashlight, NASA's cubesat that will search for water ice at the Moon’s South Pole.",,
6361,Falcon 9 Block 5 | SWOT (Surface Water and Ocean Topography),2022-12-16T11:46:47Z,True,Launch Successful,Falcon 9,Earth Science,Low Earth Orbit,Space Launch Complex 4E,"Vandenberg SFB, CA, USA","Satellite altimeter jointly developed by NASA and CNES, the French space agency, in partnership with the Canadian Space Agency (CSA) and UK Space Agency (UKSA) designed to make the first global survey of the Earth's surface water, to observe the fine details of the ocean surface topography, and to measure how terrestrial surface water bodies change over time.",,
