measured_at,area,station,pm10,pm25,ozone,no2,co,so2,cai_grade,cai_index
202605311600,도심권,중구,17.0,9.0,0.079,0.008,0.3,0.003,보통,91.0
202605311600,도심권,종로구,18.0,16.0,0.083,0.009,0.3,0.003,보통,93.0
202605311600,도심권,용산구,21.0,10.0,0.072,0.008,0.2,0.002,보통,85.0
202605311600,서북권,은평구,19.0,13.0,0.085,0.006,0.3,0.003,보통,95.0
202605311600,서북권,서대문구,22.0,11.0,0.098,0.01,0.3,0.003,나쁨,118.0
