year,stateabbr,state,county,measure,data_value,low_confidence_limit,high_confidence_limit
2023,AK,Alaska,Aleutians West,Binge drinking among adults,21.6,18.0,25.5
2023,AK,Alaska,Aleutians West,High blood pressure among adults,31.1,27.3,34.9
2023,AK,Alaska,Aleutians West,Cholesterol screening among adults,77.6,74.8,80.3
2023,AK,Alaska,Aleutians West,Food insecurity in the past 12 months among adults,16.2,13.6,18.9
2023,AK,Alaska,Aleutians West,Vision disability among adults,7.2,6.5,8.0
2023,AK,Alaska,Aleutians West,Self-care disability among adults,4.3,3.9,4.8
2023,AK,Alaska,Aleutians West,Coronary heart disease among adults,5.9,5.3,6.6
2023,AK,Alaska,Aleutians West,Mobility disability among adults,8.9,7.6,10.3
2023,AK,Alaska,Aleutians West,Visits to doctor for routine checkup within the past year among adults,61.8,57.1,66.3
2023,AK,Alaska,Aleutians West,Current lack of health insurance among adults aged 18-64 years,13.5,11.1,16.7
2023,AK,Alaska,Aleutians West,High blood pressure among adults,29.2,25.3,33.2
2023,AK,Alaska,Aleutians West,Taking medicine to control high blood pressure among adults with high blood pressure,62.3,58.0,66.5
2023,AK,Alaska,Aleutians West,Any disability among adults,34.6,30.0,39.7
2023,AK,Alaska,Aleutians West,Cancer (non-skin) or melanoma among adults,3.7,3.3,4.1
2023,AK,Alaska,Aleutians West,Hearing disability among adults,5.4,4.7,6.1
2023,AK,Alaska,Aleutians West,Loneliness among adults,40.6,35.1,46.5
2023,AK,Alaska,Aleutians West,Current cigarette smoking among adults,22.2,19.3,25.4
2023,AK,Alaska,Aleutians West,Loneliness among adults,37.2,31.8,42.6
2023,AK,Alaska,Aleutians West,Obesity among adults,38.3,31.1,45.9
2023,AK,Alaska,Aleutians West,Current cigarette smoking among adults,16.0,13.5,18.6
2023,AK,Alaska,Aleutians West,Lack of reliable transportation in the past 12 months among adults,15.7,13.8,18.1
2023,AK,Alaska,Aleutians West,Housing insecurity in the past 12 months among adults,13.3,11.4,15.5
2023,AK,Alaska,Aleutians West,Current lack of health insurance among adults aged 18-64 years,12.3,10.4,14.6
2023,AK,Alaska,Aleutians West,Arthritis among adults,19.2,16.8,21.8
2023,AK,Alaska,Aleutians West,Current asthma among adults,8.0,7.1,9.0
2023,AK,Alaska,Aleutians West,Stroke among adults,2.3,2.1,2.6
2023,AK,Alaska,Aleutians West,Housing insecurity in the past 12 months among adults,19.2,16.7,22.2
2023,AK,Alaska,Aleutians West,Frequent physical distress among adults,15.2,13.4,17.1
2023,AK,Alaska,Aleutians West,Visits to doctor for routine checkup within the past year among adults,62.8,57.9,67.5
2023,AK,Alaska,Aleutians West,Self-care disability among adults,2.9,2.6,3.2
2023,AK,Alaska,Aleutians West,Chronic obstructive pulmonary disease among adults,4.1,3.5,4.6
2023,AK,Alaska,Aleutians West,Cholesterol screening among adults,69.2,65.6,72.9
2023,AK,Alaska,Aleutians West,Diagnosed diabetes among adults,11.4,9.9,12.9
2023,AK,Alaska,Anchorage,Independent living disability among adults,6.7,5.9,7.7
2023,AK,Alaska,Anchorage,Cognitive disability among adults,12.0,10.5,13.9
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,10.7,9.0,12.4
2023,AK,Alaska,Anchorage,High blood pressure among adults,33.6,31.1,36.6
2023,AK,Alaska,Anchorage,Self-care disability among adults,3.7,3.3,4.1
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,23.6,20.8,26.7
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.8,67.8,73.9
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,12.4,10.7,14.4
2023,AK,Alaska,Anchorage,Hearing disability among adults,6.5,5.8,7.2
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,8.9,7.7,10.1
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,6.4,5.0,8.1
2023,AK,Alaska,Anchorage,Cognitive disability among adults,13.3,11.6,15.0
2023,AK,Alaska,Anchorage,Binge drinking among adults,17.1,15.0,19.5
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,13.1,10.9,15.8
2023,AK,Alaska,Anchorage,Depression among adults,24.0,21.4,27.0
2023,AK,Alaska,Anchorage,Cognitive disability among adults,16.2,13.6,19.4
2023,AK,Alaska,Anchorage,Vision disability among adults,2.9,2.5,3.3
2023,AK,Alaska,Anchorage,Loneliness among adults,32.6,29.5,36.1
2023,AK,Alaska,Anchorage,Arthritis among adults,21.4,19.6,23.7
2023,AK,Alaska,Anchorage,Depression among adults,22.1,19.8,25.0
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,10.9,9.5,12.4
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,14.4,12.4,16.6
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,5.1,4.2,6.0
2023,AK,Alaska,Anchorage,Any disability among adults,27.2,24.1,30.8
2023,AK,Alaska,Anchorage,Current asthma among adults,10.7,9.5,12.0
2023,AK,Alaska,Anchorage,Received food stamps in the past 12 months among adults,24.7,21.6,28.1
2023,AK,Alaska,Anchorage,Loneliness among adults,38.6,35.2,42.2
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,5.0,4.5,5.6
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,16.7,14.9,18.7
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,69.9,66.9,73.1
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,17.3,15.2,19.7
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,5.2,4.6,5.8
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,32.0,29.4,35.0
2023,AK,Alaska,Anchorage,Self-care disability among adults,3.7,3.3,4.1
2023,AK,Alaska,Anchorage,Vision disability among adults,6.0,5.3,6.7
2023,AK,Alaska,Anchorage,Any disability among adults,33.7,30.4,37.3
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,6.6,5.4,8.2
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,6.9,6.0,7.9
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,5.9,5.0,6.9
2023,AK,Alaska,Anchorage,Loneliness among adults,36.6,33.2,40.1
2023,AK,Alaska,Anchorage,Depression among adults,21.8,19.4,24.7
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.6,4.1,5.2
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,15.8,13.8,18.2
2023,AK,Alaska,Anchorage,Any disability among adults,26.0,23.3,29.0
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,22.4,19.8,25.3
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.3,67.5,73.3
2023,AK,Alaska,Anchorage,Mobility disability among adults,12.7,11.3,14.4
2023,AK,Alaska,Anchorage,Cognitive disability among adults,15.3,13.4,17.4
2023,AK,Alaska,Anchorage,Stroke among adults,2.9,2.6,3.2
2023,AK,Alaska,Anchorage,Loneliness among adults,36.8,33.4,40.1
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,5.6,4.8,6.5
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,20.9,18.0,23.9
2023,AK,Alaska,Anchorage,Obesity among adults,37.1,33.2,41.4
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,85.9,83.9,87.7
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.0,3.6,4.5
2023,AK,Alaska,Anchorage,Vision disability among adults,3.6,3.2,4.0
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,10.1,8.5,11.9
2023,AK,Alaska,Anchorage,Obesity among adults,38.3,34.3,42.7
2023,AK,Alaska,Anchorage,Hearing disability among adults,7.5,6.7,8.4
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,78.7,76.3,81.1
2023,AK,Alaska,Anchorage,High blood pressure among adults,32.8,30.2,35.7
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,19.4,17.0,22.4
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,36.1,33.2,39.3
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,7.7,6.6,9.0
2023,AK,Alaska,Anchorage,Depression among adults,24.6,22.0,27.6
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,5.9,5.1,6.8
2023,AK,Alaska,Anchorage,Stroke among adults,2.3,2.0,2.6
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,18.6,16.7,20.6
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,66.2,63.1,69.4
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,29.3,26.3,32.6
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,6.8,5.8,7.8
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,16.9,14.3,19.8
2023,AK,Alaska,Anchorage,Independent living disability among adults,8.6,7.5,9.7
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,68.1,65.3,71.1
2023,AK,Alaska,Anchorage,Obesity among adults,34.8,31.0,39.2
2023,AK,Alaska,Anchorage,Stroke among adults,2.6,2.4,2.8
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,4.7,4.0,5.6
2023,AK,Alaska,Anchorage,Hearing disability among adults,5.9,5.2,6.6
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,33.4,30.7,36.5
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,33.0,30.3,36.3
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,13.1,11.7,14.8
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,7.8,6.8,8.9
2023,AK,Alaska,Anchorage,High blood pressure among adults,29.7,27.2,32.5
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,11.1,9.4,13.1
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.9,4.3,5.6
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,10.3,8.5,12.3
2023,AK,Alaska,Anchorage,Current asthma among adults,11.7,10.5,13.1
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,14.7,12.5,17.1
2023,AK,Alaska,Anchorage,Any disability among adults,27.2,24.5,30.6
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,6.8,6.2,7.5
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,29.4,27.0,32.2
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,15.2,13.5,17.1
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,16.8,15.1,18.7
2023,AK,Alaska,Anchorage,Hearing disability among adults,7.4,6.5,8.4
2023,AK,Alaska,Anchorage,Self-care disability among adults,8.3,7.6,9.1
2023,AK,Alaska,Anchorage,Loneliness among adults,30.9,28.0,34.2
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,21.0,18.8,23.5
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,31.5,28.3,34.7
2023,AK,Alaska,Anchorage,Vision disability among adults,3.6,3.3,4.0
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,4.4,3.9,4.9
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,10.3,8.7,11.9
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,32.2,29.5,35.2
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,6.0,5.5,6.6
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,16.2,13.5,19.2
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,6.1,4.9,7.4
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,12.6,10.6,14.7
2023,AK,Alaska,Anchorage,Cognitive disability among adults,17.3,15.2,19.6
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,73.0,70.0,76.0
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.8,67.9,73.8
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,5.8,5.3,6.5
2023,AK,Alaska,Anchorage,Arthritis among adults,27.8,25.3,30.7
2023,AK,Alaska,Anchorage,Stroke among adults,3.2,2.9,3.6
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,15.9,13.8,18.4
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,61.8,58.5,65.4
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,5.3,4.7,5.9
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,12.7,10.7,14.9
2023,AK,Alaska,Anchorage,Hearing disability among adults,10.2,9.2,11.3
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,11.5,9.8,13.7
2023,AK,Alaska,Anchorage,High blood pressure among adults,31.3,28.8,34.2
2023,AK,Alaska,Anchorage,Any disability among adults,26.7,23.8,30.0
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,67.5,64.9,70.4
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,22.9,20.2,26.0
2023,AK,Alaska,Anchorage,Binge drinking among adults,17.5,15.5,20.1
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,9.6,8.1,11.2
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,19.0,17.0,21.1
2023,AK,Alaska,Anchorage,Loneliness among adults,29.8,26.4,33.4
2023,AK,Alaska,Anchorage,Loneliness among adults,32.2,29.0,35.6
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,12.1,10.2,14.4
2023,AK,Alaska,Anchorage,Hearing disability among adults,9.2,8.2,10.3
2023,AK,Alaska,Anchorage,Arthritis among adults,23.3,21.3,25.6
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,15.2,12.8,17.7
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,8.7,7.7,10.0
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,15.7,13.6,17.9
2023,AK,Alaska,Anchorage,Any disability among adults,22.5,20.0,25.3
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,14.2,12.6,15.9
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,15.9,14.0,17.8
2023,AK,Alaska,Anchorage,Obesity among adults,33.0,29.2,37.1
2023,AK,Alaska,Anchorage,Mobility disability among adults,9.7,8.5,11.1
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,10.1,8.4,12.0
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,11.7,9.5,14.2
2023,AK,Alaska,Anchorage,Current asthma among adults,10.4,9.2,11.7
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,6.5,5.7,7.5
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,2.4,2.1,2.8
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,8.1,7.1,9.2
2023,AK,Alaska,Anchorage,Received food stamps in the past 12 months among adults,6.8,5.5,8.5
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,9.1,8.0,10.4
2023,AK,Alaska,Anchorage,Vision disability among adults,4.8,4.3,5.4
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,27.1,24.2,30.2
2023,AK,Alaska,Anchorage,Independent living disability among adults,6.7,5.7,7.8
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,7.8,6.8,9.0
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,36.3,33.4,39.6
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,8.0,6.5,9.8
2023,AK,Alaska,Anchorage,Independent living disability among adults,8.5,7.6,9.8
2023,AK,Alaska,Anchorage,Received food stamps in the past 12 months among adults,14.4,12.1,17.0
2023,AK,Alaska,Anchorage,Vision disability among adults,5.4,4.8,6.1
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,18.0,15.3,21.2
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,17.2,15.4,19.3
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,11.5,9.4,14.1
2023,AK,Alaska,Anchorage,Self-care disability among adults,5.8,5.3,6.4
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,25.4,22.5,28.4
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,23.2,21.2,25.7
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,13.1,11.0,15.6
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,60.2,56.5,64.1
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,26.0,23.0,29.4
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,75.6,72.9,78.2
2023,AK,Alaska,Anchorage,Loneliness among adults,33.4,30.1,36.8
2023,AK,Alaska,Anchorage,Stroke among adults,2.6,2.3,3.0
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,33.1,30.5,36.3
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,14.0,12.5,15.7
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,71.0,67.9,74.5
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,13.3,11.3,15.7
2023,AK,Alaska,Anchorage,Any disability among adults,25.6,22.9,28.6
2023,AK,Alaska,Anchorage,Cognitive disability among adults,23.7,21.5,26.3
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,4.7,4.3,5.1
2023,AK,Alaska,Anchorage,Diagnosed diabetes among adults,8.5,7.4,9.7
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,8.4,7.3,9.5
2023,AK,Alaska,Anchorage,Binge drinking among adults,14.9,13.1,17.1
2023,AK,Alaska,Anchorage,Loneliness among adults,35.1,31.9,38.7
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,17.6,15.5,20.2
2023,AK,Alaska,Anchorage,Arthritis among adults,22.9,20.9,25.4
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,10.3,9.2,11.6
2023,AK,Alaska,Anchorage,Coronary heart disease among adults,5.7,5.1,6.3
2023,AK,Alaska,Anchorage,Obesity among adults,32.8,29.2,36.9
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,66.0,63.4,68.8
2023,AK,Alaska,Anchorage,Cholesterol screening among adults,87.1,85.3,88.9
2023,AK,Alaska,Anchorage,Current lack of health insurance among adults aged 18-64 years,8.1,6.9,9.6
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,6.7,6.1,7.4
2023,AK,Alaska,Anchorage,Binge drinking among adults,17.1,15.1,19.7
2023,AK,Alaska,Anchorage,Hearing disability among adults,6.9,6.1,7.8
2023,AK,Alaska,Anchorage,Frequent physical distress among adults,18.8,17.2,20.8
2023,AK,Alaska,Anchorage,Lack of social and emotional support among adults,19.0,16.5,21.9
2023,AK,Alaska,Anchorage,Lack of reliable transportation in the past 12 months among adults,11.9,10.6,13.5
2023,AK,Alaska,Anchorage,High cholesterol among adults who have ever been screened,27.8,25.4,30.7
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,20.2,17.9,22.7
2023,AK,Alaska,Anchorage,Utility services shut-off threat in the past 12 months among adults,5.3,4.3,6.2
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,70.8,67.8,73.9
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,29.4,26.5,32.6
2023,AK,Alaska,Anchorage,Cancer (non-skin) or melanoma among adults,6.9,6.2,7.7
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,19.2,16.6,22.4
2023,AK,Alaska,Anchorage,Food insecurity in the past 12 months among adults,20.2,17.2,23.0
2023,AK,Alaska,Anchorage,Cognitive disability among adults,13.3,11.7,15.2
2023,AK,Alaska,Anchorage,Cognitive disability among adults,12.0,10.4,13.7
2023,AK,Alaska,Anchorage,Frequent mental distress among adults,17.1,15.4,19.2
2023,AK,Alaska,Anchorage,Fair or poor self-rated health status among adults,12.0,10.2,14.6
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,14.7,12.8,17.0
2023,AK,Alaska,Anchorage,Cognitive disability among adults,14.1,12.0,16.3
2023,AK,Alaska,Anchorage,Housing insecurity in the past 12 months among adults,19.0,16.3,21.8
2023,AK,Alaska,Anchorage,Obesity among adults,35.3,31.3,39.8
2023,AK,Alaska,Anchorage,Chronic obstructive pulmonary disease among adults,6.5,5.6,7.5
2023,AK,Alaska,Anchorage,Received food stamps in the past 12 months among adults,4.9,3.6,6.3
2023,AK,Alaska,Anchorage,No leisure-time physical activity among adults,18.1,15.5,21.0
2023,AK,Alaska,Anchorage,Binge drinking among adults,18.0,15.8,20.5
2023,AK,Alaska,Anchorage,Current cigarette smoking among adults,12.5,10.3,14.9
2023,AK,Alaska,Anchorage,Taking medicine to control high blood pressure among adults with high blood pressure,69.9,67.0,72.7
2023,AK,Alaska,Anchorage,High blood pressure among adults,16.8,15.1,18.8
2023,AK,Alaska,Anchorage,Visits to doctor for routine checkup within the past year among adults,74.6,71.8,77.5
2023,AK,Alaska,Anchorage,Cognitive disability among adults,12.1,10.7,13.7
2023,AK,Alaska,Anchorage,Cognitive disability among adults,12.4,11.0,14.1
