station_id,name,latitude,longitude,capacity,num_bikes_available,num_docks_available,is_renting
66de17f7-0aca-11e7-82f6-3863bb44ef7c,W 100 St & Broadway,40.7973721,-73.97041192,39,33,2,1
1848241684520917882,46 Ave & Junction Blvd,40.74399,-73.86781,19,19,0,1
4e747443-d481-4aea-a6d1-cf20204af4ba,E 171 St & Webster Ave,40.838379,-73.905838,20,9,9,1
66dc2995-0aca-11e7-82f6-3863bb44ef7c,W 25 St & 6 Ave,40.74395411,-73.99144871,51,13,36,1
b4f990dd-36bb-46b3-9eea-4b980bd43c2d,Jerome Ave & W Fordham Rd,40.86294,-73.90108,24,1,18,1
66de12ff-0aca-11e7-82f6-3863bb44ef7c,W 107 St & Columbus Ave,40.7997568,-73.9621128676,23,21,1,1
81a98b0b-cfd6-48b4-90bd-806ebbc264a0,Montgomery St & Franklin Ave,40.666439306870814,-73.9605563879013,19,18,1,1
5526b855-dc09-4159-a20a-99651861a481,17 St & 5 Ave,40.663493,-73.991007,25,13,11,1
1804892772559499512,W 25 St & 8 Ave,40.74649996333341,-73.99732626293645,33,10,21,1
ca7ec509-cefc-4ac6-b729-08999d191051,Hazen St & 20 Ave,40.772092,-73.895166,23,20,1,1
1848241791125254746,51 Ave & Junction Blvd,40.74087,-73.86772,19,17,1,1
66dde4ef-0aca-11e7-82f6-3863bb44ef7c,W 92 St & Broadway,40.7921,-73.9739,24,8,13,1
f3140fb8-347b-4dca-96df-eeef2d1bfc50,Morris Ave & E 163 St,40.827230499624726,-73.91765579597632,21,14,4,1
1934749166596673908,Washington Pl & Greene St,40.72980619180496,-73.99546380915461,46,18,27,1
a2cf5872-bd4c-4311-832e-d62fd779ecc3,Parkside Ave & Flatbush Ave,40.65563,-73.95968,25,21,0,1
66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,Banker St & Meserole Ave,40.72606,-73.95621,31,30,0,1
2c8b263e-952c-4941-a671-ef0ebb062632,E New York Ave & Troy Ave,40.66227,-73.93762,21,19,0,1
b0bac4ef-bb57-4598-a433-75c281170d5b,Lenox Ave & W 146 St,40.821111,-73.935971,24,15,3,1
1828968883163894358,24 Ave & 87 St,40.7654,-73.88256,20,13,7,1
2124036994734951288,Shore Rd & 86 St,40.62561,-74.04079,12,11,1,1
66dbe68e-0aca-11e7-82f6-3863bb44ef7c,Greenwich Ave & Charles St,40.735238,-74.000271,57,24,30,1
525535e3-dde3-47b4-9c2e-0174eaa4f2bb,61 St & Borden Ave,40.72558,-73.90417,21,19,2,1
1898751402035634700,E 51 St & Linden Blvd,40.65399,-73.92967,21,19,0,1
6cd10426-b4e9-40e1-9b35-61f609190ac0,31 St & Hoyt Ave N,40.7711528,-73.9170074,35,17,16,1
b442a648-e9f4-4893-951a-64d258bc0e55,W 50 St & 9 Ave,40.763604677958625,-73.98917958140373,30,22,6,1
c606bae0-889c-47c3-8202-9463ef147655,Lefferts Ave & Albany Ave,40.66288,-73.94019,24,23,0,1
eb07bdfc-3a6f-40eb-96d2-0b92ac371619,Eastern Pkwy & Brooklyn Ave,40.66939,-73.94514,21,15,1,1
3a89411a-0bc6-4ba3-bc56-fab950c8eba1,Central Ave & Flushing Ave,40.702831,-73.9333,21,18,0,1
1869753654337059182,Marble Hill Ave & W 225 St,40.87471,-73.91099,21,6,14,1
66dcc37f-0aca-11e7-82f6-3863bb44ef7c,Greene Ave & Nostrand Ave,40.6883337,-73.950916,23,21,0,1
66db76a1-0aca-11e7-82f6-3863bb44ef7c,E 6 St & Ave B,40.72453734,-73.98185424,95,89,1,1
1795146692060860976,Longfellow Ave & Aldus St,40.82319448542357,-73.88762910982096,24,5,18,1
7f4753d7-8d58-48bd-a881-de5bff08b27d,72 St & 41 Ave,40.7448,-73.89377,26,6,17,1
1965202298784063998,Lafayette Ave & Franklin Ave,40.689271,-73.957324,27,24,1,1
66de6346-0aca-11e7-82f6-3863bb44ef7c,Hoyt St & Warren St,40.6843549,-73.98901629,35,29,3,1
69717638-5c4a-47a7-bccb-3b42c81eb09f,56 Dr & 61 St,40.72368,-73.90458,19,15,1,1
1b00fb53-da32-4b14-9a9a-84a391c8951c,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,29,5,21,1
4efda436-cd19-4ec3-acc7-1a622f723264,Fulton St & Saratoga Ave,40.67853,-73.91642,19,10,6,1
bfe5e69d-89ff-48b3-bf20-80cbdfa443e0,India St Pier,40.731734785883454,-73.9612390102593,42,49,0,1
cb05443c-e68e-48f7-8d17-35353fa19d4d,W 34 St & Hudson Blvd E,40.75516719072139,-74.00059908628464,57,1,55,1
59df3823-0369-4a10-8132-05df34a170af,Myrtle Ave & Fleet Pl,40.693534,-73.981909,47,29,12,1
e9575102-1081-4c30-8d15-ea95913579e2,Bergen St & Buffalo Ave,40.6747,-73.92512,21,6,14,1
66db93a1-0aca-11e7-82f6-3863bb44ef7c,Cherry St,40.71219906,-73.97948148,36,34,0,1
c3062f44-c5b9-4650-a4ec-cc66cbf5b944,Grand Concourse & E 199 St,40.87142,-73.88839,21,10,9,1
1f088432-0460-421e-a1d9-36890fa5396d,Barry St & Tiffany St,40.816126,-73.891559,19,1,16,1
66db277a-0aca-11e7-82f6-3863bb44ef7c,St James Pl & Pearl St,40.71117416,-74.00016545,27,25,1,1
2177014969129222184,Henry Hudson Pkwy E & W 231 St,40.88336,-73.91505,12,1,8,1
66dd3d7f-0aca-11e7-82f6-3863bb44ef7c,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,36,17,16,1
66de205d-0aca-11e7-82f6-3863bb44ef7c,3 St & 7 Ave,40.6703837,-73.97839676,27,5,20,1
66dc2c78-0aca-11e7-82f6-3863bb44ef7c,Broadway & W 53 St,40.76344058,-73.98268129,85,2,70,1
1859808514684217788,National St & 45 Ave,40.74582,-73.86433,22,13,6,1
517409d3-a94a-4140-a6de-ff0de9221ed2,Westchester Ave & E 156 St,40.817802,-73.905203,23,1,21,1
823ef531-40e6-4397-b973-86bf5b032076,Eastern Pkwy & Troy Ave,40.66929,-73.93679,24,9,12,1
90b141b9-c39f-4a26-a32d-08c7d1474d52,Lafayette Ave & Hunts Point Ave,40.816567,-73.888161,22,6,16,1
7938263e-e5b8-4ca7-b8bf-1adbaae5fead,Southern Blvd & E 149 St,40.811892,-73.904192,27,15,10,1
18eccc71-66be-4e4c-8335-095a9bf0df94,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,33,15,11,1
66dc840f-0aca-11e7-82f6-3863bb44ef7c,E 33 St & 5 Ave,40.74765947,-73.98490707,60,0,56,1
1817432434869846072,Rogers Ave & Snyder Ave,40.6487143313713,-73.95207855180962,23,22,0,1
2124037250266884686,Colonial Rd & 89 St,40.62254,-74.03726,12,9,1,1
ebae0b66-e463-4ded-9b7a-43c0aca9b37a,Morris Ave & E 142 St,40.814469,-73.924963,23,5,14,1
c3189056-8eda-4278-891f-e8e15c2d759a,Carlton Ave & Dean St,40.6809741,-73.9710097,29,13,13,1
1786700154621508184,N Henry St & Norman Ave,40.7277,-73.94395,29,27,1,1
b79c8433-9dd1-4d68-9156-7f2c2162bafe,35 St & 23 Ave,40.77301508291382,-73.91119033098221,28,22,2,1
b96507c5-7c90-499d-9c45-58f25d6f636a,Shakespeare Ave & W 169 St,40.839312,-73.922423,20,13,4,1
2126623007192357636,83 St & Narrows Ave,40.62757,-74.03838,12,8,3,1
2124381939991318658,73 St & Ridge Blvd,40.63349,-74.02976,16,9,6,1
1849009654626746672,55 Ave & 97 Pl,40.73892,-73.86367,19,14,3,1
0630217a-3913-47d9-9540-cf85688296a5,37 St & 24 Ave,40.7701477,-73.9120938,19,11,6,1
7dda8844-60ba-4449-b05c-54c1d14ab5fb,Broadway & Morris St,40.705945132708806,-74.01321887969969,69,12,56,1
1846085439406916338,41 Ave & 77 St,40.74557,-73.8882,24,1,20,1
66de2199-0aca-11e7-82f6-3863bb44ef7c,5 Ave & 3 St,40.6728155,-73.98352355,30,20,6,1
66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,19,12,1,1
645e4365-653f-48ce-bc15-5fcc287be56f,E 7 St & Ave B,40.7251285241158,-73.98131668567657,69,65,1,1
66dd9fa6-0aca-11e7-82f6-3863bb44ef7c,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,62,0,60,1
2104286315955915532,W 47 St & 6 Ave,40.758154,-73.981957,68,0,65,1
42c3bb6e-0478-4e4a-af10-151f5f4dffb9,55 Dr & Maurice Ave,40.7261,-73.90917,19,13,5,1
e85c3165-ad0a-44a3-9683-d8cf7575f465,Caton Ave & E 10 St,40.648481,-73.97058,30,24,0,1
1849010133527040242,111 St & Roosevelt Ave,40.75147,-73.8557,21,10,8,1
1840540852548303628,Butler St & 27 Ave,40.76521,-73.86483,18,12,5,1
1875415144760576328,Naples Terrace & Godwin Terrace,40.87995,-73.90536,25,21,2,1
d265dbc7-ef55-4f5b-8a2b-f2015dc71fb8,Crescent St & 35 Ave,40.7596276,-73.9321455,25,11,12,1
2171904223419888148,E Gun Hill Rd & Tryon Ave,40.8802,-73.87697,21,6,14,1
549b5bc4-b949-4eeb-8ffb-2215e1e49892,Morton St & Greenwich St,40.731135726910246,-74.00815155572697,56,44,7,1
bf880f45-422c-4e0b-b3b0-2b1f5ba94da4,Fulton Ave & St Paul's Pl,40.83545,-73.90153,19,10,9,1
55a4dc76-d839-4e06-9bf4-2f343391343c,Woodward Ave & Harman St,40.70793,-73.91092,19,16,1,1
1851254468343716806,60 Ave & Otis Ave,40.73715,-73.85614,21,15,3,1
481624f3-9377-4dfd-a5dd-de05a7fef760,Ogden Ave & W 165 St,40.834457,-73.928381,19,11,7,1
82c85f05-4722-48ae-9f64-0522012eb3c8,Southern Blvd & E 174 St,40.836733,-73.887931,27,11,11,1
29a41b09-698f-43e2-82ff-f94f73e74841,41 St & 3 Ave,40.652512,-74.008906,19,14,3,1
ab6aadd8-fa45-43aa-abea-c8e01ec5a0c8,Stagg St & Morgan Ave,40.710681,-73.93372,23,6,17,1
66de13dc-0aca-11e7-82f6-3863bb44ef7c,Madison Ave & E 99 St,40.78948541553215,-73.95242929458618,35,3,31,1
1814907423052790164,E 16 St & Cortelyou Rd,40.64173,-73.96364,26,21,0,1
7aa86431-bbc5-4d9c-8198-9630c9d32a22,Chester Ave & 12 Ave,40.644367,-73.984276,21,19,0,1
1826348248869574940,E 18 St & Church Ave,40.64958,-73.96316,31,29,0,1
493e046c-5d62-4772-90c4-b6a9f4afcd39,Willoughby Ave & Myrtle Ave,40.69757,-73.93098,19,13,6,1
1b038e21-e199-4c47-bef0-f4bcdc06b73b,Duane St & Hudson St,40.71703,-74.00925,44,24,16,1
3d68a3fd-91da-49e8-9cd5-69b333863789,Nagle Ave & Ellwood St,40.86012,-73.928489,21,8,10,1
1860189327773878824,Crotona Ave & E 183 St,40.85157,-73.88475,25,5,20,1
66dc7773-0aca-11e7-82f6-3863bb44ef7c,E 20 St & Park Ave,40.73827428,-73.98751968,45,1,43,1
66db6963-0aca-11e7-82f6-3863bb44ef7c,E 15 St & 3 Ave,40.734232,-73.986923,78,10,65,1
1950648049868542106,Bainbridge Ave & E 193 St,40.86415477605928,-73.892452880543,27,7,16,1
c71cca54-17f6-42bc-ba94-3f5bd9c70197,Bridge St & Front St,40.702969341552716,-73.98469090461731,47,41,3,1
475c44e1-31e3-4c60-b071-af2ca3f7618c,Prospect Pl & Nostrand Ave,40.67428,-73.9503,22,19,0,1
1dacb0f6-29f5-4d1b-b910-92ffa5b4ca5d,Eastern Pkwy & Franklin Ave (NE Corner),40.6707767,-73.9576801,42,2,39,1
47da6ab2-c841-4f2d-97ef-dd8d441c96b1,Loring Pl North & W 183 St,40.8604244,-73.9093359997,20,5,15,1
b713367c-3572-4225-b74a-9319ab537838,Sedgwick Ave & Hall of Fame Terrace,40.859532,-73.913303,19,1,18,1
053312f2-e77e-4674-b28b-ad357fbcb4ee,8 Ave & W 49 St,40.76171227910671,-73.98655101656914,65,21,42,1
66db6f2e-0aca-11e7-82f6-3863bb44ef7c,Canal St & Rutgers St,40.71427487,-73.98990025,45,8,36,1
7a1ad7c0-4958-4354-91a1-11bf13348abd,56 Dr & 59 St,40.72403,-73.90853,19,18,0,1
66dde69c-0aca-11e7-82f6-3863bb44ef7c,6 St & 7 Ave,40.6686627,-73.97988067,21,2,16,1
1854538962214948918,Martense Ave & 108 St,40.74214,-73.85418,20,19,1,1
f8c242cd-da59-4f0e-afd6-832bbdd7d328,W 211 St & 10 Ave,40.86709406268147,-73.9172950387001,20,18,0,1
4568f854-1268-45cf-bac8-82286ef40ae6,Dean St & Rockaway Ave,40.67486,-73.91123,21,1,19,1
5145ad1c-241f-4448-a742-739bd5c518c2,64 St & 51 Ave,40.73577,-73.90184,19,15,1,1
66dd217d-0aca-11e7-82f6-3863bb44ef7c,Franklin St & Dupont St,40.73564,-73.95866,27,24,0,1
f401cd5f-cb41-41f8-a857-4a4dfe778f94,Wilson Ave & Troutman St,40.70166,-73.92754,26,24,1,1
1869753057823626206,3 Ave & E Tremont Ave,40.84649,-73.89616,27,1,22,1
66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,23,21,0,1
1860189650739626488,E 188 St & Hughes Ave,40.8561,-73.88625,21,9,11,1
5a24acbb-94ef-4cb5-9db8-f6073ac26a2b,21 St & 23 Ave,40.778557,-73.919046,22,19,3,1
66dced76-0aca-11e7-82f6-3863bb44ef7c,Broadway & Roebling St,40.70924826276157,-73.96063148975372,27,20,4,1
66dc0f8a-0aca-11e7-82f6-3863bb44ef7c,E 3 St & 1 Ave,40.72467721,-73.98783413,47,37,6,1
528ed1e0-75aa-45be-8afe-c3f1c950782f,Grand Ave & 58 Ave,40.72098,-73.90701,20,16,1,1
292ad4f3-9fb0-44ec-9e61-613c711f73c1,Pacific St & Classon Ave,40.6791944,-73.9587903,21,19,0,1
1927314940904608224,W 160 St & Riverside Dr,40.83719,-73.9466,27,4,15,1
9af90faf-0b9b-451b-9cb0-20ff421ca1d9,E 165 St & Fox St,40.82394,-73.894025,27,3,23,1
493850bd-125b-49f5-932b-bf999504fb06,Cauldwell Ave & E 161 St,40.82188,-73.907521,18,0,16,1
19d17911-1e4a-41fa-b62b-719aa0a6182e,6 Ave & Walker St,40.7197920901383,-74.0052238852195,39,14,21,1
66ddea99-0aca-11e7-82f6-3863bb44ef7c,10 St & 7 Ave,40.6662078,-73.98199886,23,0,22,1
1838071008881986168,37 Ave & 113 St,40.75475,-73.8549,30,25,0,1
2637fed8-1e2a-460b-83eb-3eb32ace0f4e,E 35 St & Madison Ave,40.74848023448579,-73.98255586624146,50,11,37,1
59af018a-2ee9-489a-b445-bb6fba9c1119,W 163 St & Riverside Dr,40.839278,-73.945446,19,4,15,1
b4a320d6-2611-4940-96ca-17fb297ec826,Sunken Meadow Comfort Station,40.79558,-73.91906,25,11,10,1
b371c432-b682-412f-9b85-8df84ce7a9f3,St Nicholas Ave & W 137 St,40.818477,-73.947568,21,7,12,1
66de4bbb-0aca-11e7-82f6-3863bb44ef7c,Smith St & 9 St,40.6746957,-73.99785768,23,19,0,1
98ebf9c6-1d94-4e21-9007-c623875fdb5e,E 144 St & Brook Ave,40.811675,-73.917037,19,3,14,1
8caf71df-76c3-43fb-be98-d555d2291460,Bergen St & Vanderbilt Ave,40.6794388,-73.9680438,27,5,22,1
44fa161f-eb62-459b-b53e-da83788cfa2a,Convent Ave & W 135 St,40.818215,-73.950988,30,3,24,1
563389a0-d90f-4155-9c50-528459df26aa,Broadway & W 138 St,40.82182,-73.95353,27,8,16,1
37a37e5b-f975-4f92-a897-dca8e4670631,46 St & 28 Ave,40.763328,-73.908782,19,11,8,1
1817822909864556798,23 Ave & 31 St,40.77423301703027,-73.91274864321404,27,2,24,1
66de4959-0aca-11e7-82f6-3863bb44ef7c,Clinton St & 4 Place,40.6783563,-74.00014502,25,23,0,1
1862002854876824190,Elmhurst Ave & Forley St,40.74615,-73.87763,21,12,8,1
66dd46a2-0aca-11e7-82f6-3863bb44ef7c,E 85 St & York Ave,40.77536905,-73.94803392,47,45,0,1
66de71af-0aca-11e7-82f6-3863bb44ef7c,Hanson Pl & Ashland Pl,40.68506807308177,-73.97790759801863,39,18,18,1
7d5fa1f0-4069-4d5d-b735-5d500597394a,W Broadway & Watts St,40.72323,-74.00314,51,11,34,1
581bc4fe-cf14-4767-8377-6fa156ff8a29,Morris Ave & E 153 St,40.820036,-73.921411,19,3,14,1
66db408f-0aca-11e7-82f6-3863bb44ef7c,Harrison St & Hudson St,40.71870987,-74.0090009,39,14,24,1
0138452a-b9f4-4aee-80b0-7fae9a122ffe,E 54 St & 1 Ave,40.756265,-73.964179,41,26,7,1
2171903608969565866,Jerome Ave & E Mosholu Pkwy N,40.88031,-73.88426,20,5,11,1
f5393bc2-36d4-4508-bf51-fa48d121f751,61 St & Queens Blvd,40.74091,-73.90273,27,23,0,1
6fd61eee-d0ef-4580-9704-bd06b82bcb61,E 56 St & Madison Ave,40.761573,-73.972628,33,1,28,1
81bec993-29a5-4e70-8f60-eecdf16c7be4,Railroad Ave & Kay Ave,40.70514807698391,-73.97078096866608,30,7,17,1
26b3a82b-3487-44c2-85f1-eddb5a8a3a9d,55 St & Northern Blvd,40.75326,-73.90585,23,11,11,1
faf98f78-51ab-4248-b7e7-f402902385a6,65 St & Broadway,40.749372273899596,-73.89738768339157,18,6,11,1
4e9a1c3a-20e2-4fd5-b8de-fbf8d43e7bcc,Maple St & Flatbush Ave,40.66026,-73.96045,24,21,1,1
