_score,id,title,date_start,date_end,medium_display,artist_title,place_of_origin
3.0000107,261512,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261513,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261514,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261515,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261516,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261517,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261518,A Spectrum of Blackness: The Search for Sedimentation in Miami,2021,2021,Inkjet prints on PhotoSatin paper mounted to Dibond panel,Germane Barnes,United States
3.0000107,261683,Equality,2021,2021,Screenprint in black and gray on white wove paper,Judith Bernstein,United States
3.0000107,261684,Untitled,2021,2021,Opaque and translucent watercolor on white wove paper,Stanley Whitney,United States
3.0000107,261748,"Sea Level Change, from the Shoretime Spaceline series",2021,2021,Embroidery on fabric,Karen Reimer,United States
3.0000107,272719,Shawl with Poppy Flowers,2022,2022,"Silk, cotton and silver metal-wrapped thread, brocaded twill weave borders, plain weave center field; silver metal-wrapped thread fringe",Rahul Jain,India
3.0000107,272720,Shawl with Narcissus Flowers,2022,2022,"Silk, cotton and gold thread woven in a brocaded, weft-substituting 1/3 twill weave. Gold pallu with silk brocaded narcissus flowers; gold-colored silk plain weave center, narrow meandering floral border; gold fringe",Rahul Jain,India
3.0000107,272722,"Length of voided velvet with Eight-pointed Star, Lotuses, and Carnations",2021,2021,Silk and silver metal-wrapped thread; voided cut velvet on satin foundation over a cloth of silver background,Rahul Jain,India
3.0000107,272723,Length of cloth of gold with voided velvet Irises,2021,2022,"Silk and gilt-silver wrapped metal thread; voided cut velvet on satin weave foundation, faced with gilt-silver wrapped metal thread bound in twill weave",Rahul Jain,India
3.0000107,272724,Length of cloth of gold with voided velvet Narcissus,2021,2022,"Silk and gilt-silver wrapped metal thread; voided cut velvet on satin weave foundation, faced with gilt-silver wrapped metal thread bound in twill weave",Rahul Jain,India
3.0000107,273055,Palanquin,2023,2023,"Fiberboard, oil stain, acrylic paint, crayon, mahogany ‘rope’ molding, cord",Diane Simpson,United States
3.0000107,273082,Manifesto of Photosynthesism,2022,2022,Digital File,Michael Wang,United States
3.0000107,273250,Kaale Uuts Beaded Purse,2024,2024,"Antique and vintage glass seed beads on brain-tanned moose hide, with Italian leather, smoked brain-tanned deer hide, ermine pelts, brass spikes, vintage brass chains, brass bells, bull elk ivories, and found, antique, doctor's bag frame",Elias Jade Not Afraid,Detroit
3.0000107,273270,Opvnhv Hacogee (Stomp Dance),2024,2024,"Waxed, dyed, 4-ply linen thread, coiled over bundled hemp core; with silver and glass beads",Carol Emarthle Douglas,Lynnwood
3.0000107,273293,Double Circle Corrugated Jar,2024,2024,Micaceous earthenware (blackware),Jared Tso,Nahata Dziil
3.0000107,273358,"Reggio School, Vertical Stacking (Ecosystem of Architectural Traditions)",2022,2022,Digital print on white wove paper,Andres Jaque,Spain
