indicator,year,country,sex,value,display
WHOSIS_000001,2021,KOR,SEX_BTSX,83.79982334,83.8 [83.8-83.9]
WHOSIS_000001,2021,KOR,SEX_FMLE,86.65826663,86.7 [86.6-86.8]
WHOSIS_000001,2021,KOR,SEX_MLE,80.70510387,80.7 [80.7-80.8]
