rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
15,102. 망원역 1번출구 앞,0,0,37.55564880,126.91062927,ST-4
14,103. 망원역 2번출구 앞,1,7,37.55495071,126.91083527,ST-5
13,104. 합정역 1번출구 앞,0,0,37.55073929,126.91508484,ST-6
5,105. 합정역 5번출구 앞,1,20,37.55000687,126.91482544,ST-7
12,106. 합정역 7번출구 앞,0,0,37.54864502,126.91282654,ST-8
